"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"IDNO","numeric",1500,0,1500,750.5,750.5,750.5,NA,433.157015411271,NA,1,1500,1499,0,0,-1.20240026524539,-4.76080870769891,NA,NA
"Wave","character",1500,0,2,NA,NA,1500,"CAB OTS W1",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Country","character",1500,0,2,NA,NA,1500,"Kazakhstan",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Month","character",1500,0,3,NA,NA,1169,"June",NA,0.343945777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Day","numeric",1500,0,30,17.2786666666667,19,19,NA,8.121144020951,NA,1,30,29,-0.561275662758176,-4.44170680573363,-0.688964878616162,-2.72790192103388,NA,NA
"Year","numeric",1500,0,1,2017,2017,2017,NA,0,NA,2017,2017,0,NA,NA,NA,NA,NA,NA
"GeoCode","character",1500,0,3,NA,NA,779,"Urban",NA,0.499252444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IntCode","numeric",1500,0,62,27.8726666666667,26,26,NA,18.785092654183,NA,1,63,62,0.387945127744308,3.07003960529018,-1.02701804353221,-4.06639667832591,NA,NA
"GendInt","character",1500,0,3,NA,NA,1437,"Female",NA,0.0804720000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SupvCode","numeric",1500,0,17,6.36333333333333,5,5,NA,4.98516701314893,NA,1,18,17,0.676312143669642,5.35205862405619,-0.630034732962806,-2.49457267229556,NA,NA
"Visit","character",1500,0,4,NA,NA,1303,"First Visit",NA,0.235336,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IntBegin","numeric",1500,0,640,1668.58666666667,1704,1704,NA,339.378798888467,NA,810,2345,1535,-0.167058553852929,-1.32203329814475,-0.886645895715876,-3.5106042662991,NA,NA
"IntEnd","numeric",1500,0,657,1688.412,1716,1716,NA,337.809505141348,NA,826,2354,1528,-0.173339376210682,-1.37173716607115,-0.885290909279032,-3.50523930471867,NA,NA
"Length","numeric",1500,0,33,12.164,11,11,NA,4.31634775073443,NA,6,48,42,2.43001706308776,19.2301645044176,11.99437236549,47.4907683003165,NA,NA
"SamPt","numeric",1500,0,167,83.974,84,84,NA,48.3465778008817,NA,1,168,167,0.0124301620041515,0.0983672352706279,-1.19078388780682,-4.71481458040206,NA,NA
"NetComp","character",1500,0,8,NA,NA,695,"Never",NA,0.674562666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NetPhone","character",1500,0,8,NA,NA,789,"Daily",NA,0.608009777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gender","character",1500,0,3,NA,NA,907,"Female",NA,0.478089777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Age","numeric",1500,0,67,40.0126666666667,38,38,NA,14.9890945309847,NA,18,88,70,0.473071592150884,3.74369574502848,-0.592523697697116,-2.34605069630344,NA,NA
"Educ","numeric",1500,0,26,12.934,13,13,NA,2.95648516592889,NA,5,49,44,2.88288998767754,22.8140162278257,25.8665305676592,102.41648103707,NA,NA
"Muslim","character",1500,0,7,NA,NA,581,"Not Asked",NA,0.707144888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUKaz","character",1500,0,7,NA,NA,1072,"Not Asked",NA,0.415195555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Church","character",1500,0,8,NA,NA,1061,"Not Asked",NA,0.480344888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pray5x","character",1500,0,7,NA,NA,764,"Never",NA,0.586033777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fast","character",1500,0,7,NA,NA,645,"Never",NA,0.649240888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Work","character",1500,0,9,NA,NA,631,"Working full-time",NA,0.758424888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Occ","character",1500,0,15,NA,NA,712,"Not Asked",NA,0.746128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Income","character",1500,0,13,NA,NA,289,"100,001 - 150,000 Tenge",NA,0.884503111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IncomeOut","character",1500,0,12,NA,NA,1242,"Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)",NA,0.304131555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homelang","character",1500,0,9,NA,NA,787,"Russian",NA,0.530618666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Water","character",1500,0,5,NA,NA,1392,"Yes",NA,0.133821333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Food","character",1500,0,5,NA,NA,1491,"Yes",NA,0.0119457777777777,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Housing","character",1500,0,4,NA,NA,1448,"Yes",NA,0.0671004444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Electric","character",1500,0,4,NA,NA,1420,"Yes",NA,0.101048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Educate","character",1500,0,5,NA,NA,1435,"Yes",NA,0.0832773333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MedCare","character",1500,0,4,NA,NA,1424,"Yes",NA,0.096455111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HoursElec","character",1500,0,24,NA,NA,1349,"24.00000000000000000",NA,0.189517333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Language","character",1500,0,3,NA,NA,1315,"Russian",NA,0.216244444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PeopPres","numeric",1500,0,6,2.20666666666667,2,2,NA,0.557520799477582,NA,2,7,5,3.51572675109941,27.822028414202,15.5505163601801,61.5710390596521,NA,NA
"Interact","character",1500,0,6,NA,NA,1268,"No other people were present at the interview",NA,0.270290666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comphend","character",1500,0,5,NA,NA,1382,"The respondent understood all of the questions",NA,0.147924444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UnEz","character",1500,0,5,NA,NA,1398,"The respondent was comfortable (at ease) with the entire questionnaire",NA,0.128484444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BackChk","character",1500,0,3,NA,NA,1165,"No",NA,0.346911111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Method","character",1500,0,6,NA,NA,1165,"Not subject to back check",NA,0.368496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Format","POSIXct, POSIXt",1500,0,3,NA,NA,1169,"1496275200",NA,0.343945777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ThreatHi","character",1500,0,7,NA,NA,592,"Somewhat low",NA,0.723074666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mosque","character",1500,0,9,NA,NA,581,"Not Asked",NA,0.779322666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TrustCA","character",1500,0,5,NA,NA,933,"Trust",NA,0.543433777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CelPhon","character",1500,0,5,NA,NA,1447,"Yes",NA,0.0683466666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OwnPC","character",1500,0,5,NA,NA,824,"Yes",NA,0.497524444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UseNet","character",1500,0,5,NA,NA,1077,"Yes",NA,0.413484444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethnic_M","character",1500,0,14,NA,NA,854,"Kazakh (Kaz)",NA,0.586238222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Region_M","character",1500,0,8,NA,NA,504,"Southern",NA,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MainNews_M","character",1500,0,14,NA,NA,819,"Our country's national television stations",NA,0.619240888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Topprob_M","character",1500,0,29,NA,NA,461,"Unemployment",NA,0.859280888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
